matricula,data_inicio_execucao,equipamento,trabalho_real
52,15/9/2023,1561,"0,6"
52,15/9/2023,1561,"0,6"
52,23/8/2023,1561,"0,6"
52,15/9/2023,1561,"0,6"
52,28/11/2023,1561,1
52,28/11/2023,1561,1
52,28/11/2023,1561,1
52,28/11/2023,1561,
52,7/8/2023,1561,"0,6"
52,23/8/2023,1561,"0,6"
52,10/8/2023,1561,1
52,15/9/2023,1561,"0,6"
52,28/11/2023,1561,1
52,28/9/2023,1561,
52,25/8/2023,1562,"1,2"
52,15/9/2023,1562,"0,6"
52,10/8/2023,1562,1
52,28/11/2023,1562,
52,28/11/2023,1562,
52,15/9/2023,1562,"0,6"
52,7/8/2023,1562,"0,6"
52,7/8/2023,1562,
52,15/9/2023,1562,"0,6"
52,23/8/2023,1562,"0,6"
52,23/8/2023,1562,"0,6"
52,23/8/2023,1562,"0,6"
52,24/8/2023,1562,"0,6"
52,25/10/2023,1562,1
52,23/8/2023,1563,"0,6"
52,28/11/2023,1563,1
52,7/8/2023,1563,"0,6"
52,7/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,15/9/2023,1563,"0,6"
52,28/9/2023,1563,1
52,28/9/2023,1564,
52,15/9/2023,1564,"0,6"
52,15/9/2023,1564,"0,6"
52,28/9/2023,1564,1
52,28/9/2023,1564,
52,28/9/2023,1564,
52,15/9/2023,1565,"0,6"
52,15/9/2023,1566,"0,6"
52,15/9/2023,1567,"0,6"
52,15/9/2023,1570,"0,6"
52,15/9/2023,1571,"0,6"
52,15/9/2023,1571,"0,6"
52,15/9/2023,1572,"0,6"
52,15/9/2023,1573,"0,6"
52,15/9/2023,1574,"0,6"
52,15/9/2023,1574,"0,6"
52,15/9/2023,1574,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1576,"0,6"
52,15/9/2023,1577,"0,6"
52,15/9/2023,1578,"0,6"
52,15/9/2023,1579,"0,6"
52,15/9/2023,1582,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1606,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"58,8"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1609,"0,6"
52,7/8/2023,1609,"0,6"
52,7/8/2023,1609,"0,6"
52,7/8/2023,1609,"0,6"
52,7/8/2023,1609,"0,6"
52,6/10/2023,10000003,1
52,10/10/2023,10000003,1
52,6/10/2023,10000003,1
52,6/10/2023,10000003,1
52,7/5/2024,10000004,"0,6"
52,19/4/2024,10000004,"0,6"
52,7/5/2024,10000004,"0,6"
52,8/8/2023,10000005,1
52,19/12/2023,10000006,
52,21/9/2023,10000007,
52,2/8/2023,10000008,"0,6"
52,31/7/2023,10000008,"0,6"
52,31/7/2023,10000008,"0,6"
52,31/7/2023,10000008,"0,6"
52,31/7/2023,10000008,"0,6"
52,25/8/2023,10000008,"0,6"
52,10/8/2023,10000008,
52,7/8/2023,10000008,1
52,31/7/2023,10000008,"0,6"
52,25/8/2023,10000008,"0,6"
52,17/8/2023,10000008,"0,6"
52,31/7/2023,10000008,"0,6"
52,31/7/2023,10000008,"0,6"
52,29/7/2023,10000008,"0,6"
52,7/8/2023,10000008,"0,6"
52,7/8/2023,10000008,"0,6"
52,1/8/2023,10000008,1
52,10/8/2023,10000008,
52,9/8/2023,10000008,1
52,10/8/2023,10000008,1
52,22/4/2024,10000008,"0,6"
52,29/7/2023,10000008,"0,6"
52,1/2/2024,10000008,
52,1/2/2024,10000008,1
52,31/7/2023,10000008,"0,6"
52,1/2/2024,10000008,1
52,8/8/2023,10000008,1
52,9/8/2023,10000008,1
52,26/7/2023,10000051,1
52,1/2/2024,10000051,1
52,17/11/2023,10000051,1
52,17/11/2023,10000051,1
52,17/11/2023,10000051,1
52,17/11/2023,10000051,1
52,17/11/2023,10000051,1
52,17/11/2023,10000051,1
52,25/7/2023,10000051,1
52,25/7/2023,10000051,"181,2"
52,25/7/2023,10000051,"61,2"
52,25/7/2023,10000051,3
52,17/11/2023,10000051,1
52,25/7/2023,10000051,"0,1"
52,19/7/2023,10000051,2
52,25/7/2023,10000051,"4,2"
52,25/7/2023,10000051,6
52,26/7/2023,10000051,"0,6"
52,19/7/2023,10000051,2
52,26/7/2023,10000051,"0,6"
52,19/7/2023,10000051,"0,6"
52,26/7/2023,10000051,"0,6"
52,31/7/2023,10000051,"0,6"
52,26/7/2023,10000051,2
52,17/11/2023,10000051,1
52,9/8/2023,10000051,1
52,15/9/2023,10000051,"0,6"
52,1/2/2024,10000051,1
52,31/7/2023,10000051,"4,8"
52,2/2/2024,10000051,1
52,26/12/2023,10000183,
52,19/4/2024,10000183,"0,6"
52,26/12/2023,10000183,
52,26/12/2023,10000183,
52,26/12/2023,10000183,
52,26/12/2023,10000183,
52,26/12/2023,10000183,1
52,28/7/2023,110000303,"0,6"
60,2/7/2024,10000007,"1,8"
60,22/4/2024,10000008,"0,6"
60,25/7/2024,10000011,"7,8"
60,25/7/2024,10000011,1
60,28/8/2024,10000075,"1,2"
70,15/12/2023,10000003,
70,15/12/2023,10000003,
70,15/12/2023,10000003,
70,15/12/2023,10000003,
70,15/12/2023,10000003,
70,15/12/2023,10000003,
70,15/12/2023,10000003,1
70,15/12/2023,10000003,
70,15/12/2023,10000003,
70,15/12/2023,10000003,1
70,4/6/2024,10000004,"0,6"
70,4/6/2024,10000004,"0,6"
70,22/4/2024,10000008,"0,6"
70,28/3/2024,10000008,2
70,28/3/2024,10000008,1
70,21/6/2024,10000008,"0,6"
70,17/8/2023,10000008,"0,6"
70,21/6/2024,10000008,"0,6"
70,1/2/2024,10000008,1
70,23/6/2024,10000009,"0,4"
70,15/12/2023,10000051,
70,17/8/2023,10000051,"1,8"
70,17/8/2023,10000051,"1,2"
70,17/8/2023,10000051,"0,6"
